lead_time_h,bias_mean,rmse_mean,acc_mean
24,-0.14830872152472097,1.212946273400435,0.9128071118402684
48,-0.21804342864549586,1.3303305859360373,0.8809285345460006
72,-0.3286821155175625,1.4266385679669993,0.83739598086391
120,-0.7489844457478684,2.03064191620929,0.6241947718088637
240,-0.5308791161863295,3.140332532315488,0.25407551339716516
